002800.SZ	天顺股份
000948.SZ	南天信息
000752.SZ	西藏发展
002146.SZ	荣盛发展
601988.SH	中国银行
300353.SZ	东土科技
002391.SZ	长青股份
002357.SZ	富临运业
600079.SH	人福医药
300174.SZ	元力股份
000581.SZ	威孚高科
000825.SZ	太钢不锈
300264.SZ	佳创视讯
601113.SH	华鼎股份
002369.SZ	卓翼科技
600101.SH	明星电力
601208.SH	东材科技
000050.SZ	深天马A
600438.SH	通威股份
600285.SH	羚锐制药
002370.SZ	亚太药业
600398.SH	海澜之家
300349.SZ	金卡股份
600356.SH	恒丰纸业
002765.SZ	蓝黛传动
002099.SZ	海翔药业
002559.SZ	亚威股份
002012.SZ	凯恩股份
002297.SZ	博云新材
300433.SZ	蓝思科技
300342.SZ	天银机电
603128.SH	华贸物流
000416.SZ	民生控股
600808.SH	马钢股份
600035.SH	楚天高速
603518.SH	维格娜丝
603066.SH	音飞储存
600761.SH	安徽合力
300439.SZ	美康生物
000785.SZ	武汉中商
002190.SZ	成飞集成
002534.SZ	杭锅股份
600618.SH	氯碱化工
002753.SZ	永东股份
600983.SH	惠而浦
002650.SZ	加加食品
002410.SZ	广联达
000930.SZ	中粮生化
600221.SH	海南航空
002384.SZ	东山精密
601798.SH	蓝科高新
300411.SZ	金盾股份
300082.SZ	奥克股份
600962.SH	国投中鲁
600011.SH	华能国际
002364.SZ	中恒电气
300228.SZ	富瑞特装
603686.SH	龙马环卫
603085.SH	天成自控
300367.SZ	东方网力
600810.SH	神马股份
300255.SZ	常山药业
600261.SH	阳光照明
002728.SZ	台城制药
002747.SZ	埃斯顿
600222.SH	太龙药业
000023.SZ	深天地A
600178.SH	东安动力
600821.SH	津劝业
002057.SZ	中钢天源
002670.SZ	华声股份
000662.SZ	天夏智慧
002745.SZ	木林森
000501.SZ	鄂武商A
300191.SZ	潜能恒信
601886.SH	江河集团
300239.SZ	东宝生物
002124.SZ	天邦股份
300234.SZ	开尔新材
002679.SZ	福建金森
002571.SZ	德力股份
600807.SH	天业股份
600480.SH	凌云股份
600203.SH	福日电子
600792.SH	云煤能源
600166.SH	福田汽车
600736.SH	苏州高新
600269.SH	赣粤高速
002712.SZ	思美传媒
002185.SZ	华天科技
002332.SZ	仙琚制药
000022.SZ	深赤湾A
300282.SZ	汇冠股份
601857.SH	中国石油
002386.SZ	天原集团
002258.SZ	利尔化学
002475.SZ	立讯精密
601800.SH	中国交建
000683.SZ	远兴能源
603338.SH	浙江鼎力
600844.SH	丹化科技
600057.SH	象屿股份
002377.SZ	国创高新
002121.SZ	科陆电子
600616.SH	金枫酒业
600583.SH	海油工程
000035.SZ	中国天楹
600019.SH	宝钢股份
002591.SZ	恒大高新
600340.SH	华夏幸福
000623.SZ	吉林敖东
002164.SZ	宁波东力
000610.SZ	西安旅游
600265.SH	*ST景谷
300262.SZ	巴安水务
000563.SZ	陕国投A
600816.SH	安信信托
601007.SH	金陵饭店
002119.SZ	康强电子
600273.SH	嘉化能源
002275.SZ	桂林三金
603002.SH	宏昌电子
002383.SZ	合众思壮
300462.SZ	华铭智能
002356.SZ	赫美集团
002516.SZ	旷达科技
000987.SZ	越秀金控
002641.SZ	永高股份
300323.SZ	华灿光电
600313.SH	农发种业
300310.SZ	宜通世纪
000698.SZ	沈阳化工
000038.SZ	深大通
002267.SZ	陕天然气
002351.SZ	漫步者
300464.SZ	星徽精密
600814.SH	杭州解百
002440.SZ	闰土股份
000046.SZ	泛海控股
601336.SH	新华保险
600137.SH	浪莎股份
603315.SH	福鞍股份
002501.SZ	利源精制
000935.SZ	四川双马
600823.SH	世茂股份
002058.SZ	威尔泰
600127.SH	金健米业
600677.SH	航天通信
000786.SZ	北新建材
600308.SH	华泰股份
002111.SZ	威海广泰
300369.SZ	绿盟科技
000688.SZ	建新矿业
300313.SZ	天山生物
600318.SH	新力金融
600551.SH	时代出版
000993.SZ	闽东电力
002148.SZ	北纬通信
600804.SH	鹏博士
002003.SZ	伟星股份
002469.SZ	三维工程
002504.SZ	弘高创意
600679.SH	上海凤凰
002444.SZ	巨星科技
000906.SZ	物产中拓
000415.SZ	渤海金控
000750.SZ	国海证券
002561.SZ	徐家汇
603366.SH	日出东方
000513.SZ	丽珠集团
300324.SZ	旋极信息
300089.SZ	文化长城
002273.SZ	水晶光电
002637.SZ	赞宇科技
300267.SZ	尔康制药
600109.SH	国金证券
600332.SH	白云山
603988.SH	中电电机
002542.SZ	中化岩土
600301.SH	*ST南化
002685.SZ	华东重机
002284.SZ	亚太股份
600723.SH	首商股份
600720.SH	祁连山
000735.SZ	罗牛山
002089.SZ	新海宜
000900.SZ	现代投资
000923.SZ	河北宣工
000863.SZ	三湘股份
600439.SH	瑞贝卡
002422.SZ	科伦药业
002552.SZ	宝鼎科技
300095.SZ	华伍股份
002478.SZ	常宝股份
000025.SZ	特力A
002526.SZ	山东矿机
600859.SH	王府井
002725.SZ	跃岭股份
000759.SZ	中百集团
002755.SZ	东方新星
002748.SZ	世龙实业
002231.SZ	奥维通信
002054.SZ	德美化工
600999.SH	招商证券
000528.SZ	柳工
600100.SH	同方股份
002167.SZ	东方锆业
002105.SZ	信隆实业
002326.SZ	永太科技
300278.SZ	华昌达
002374.SZ	丽鹏股份
300101.SZ	振芯科技
002382.SZ	蓝帆医疗
300035.SZ	中科电气
000088.SZ	盐田港
300274.SZ	阳光电源
000150.SZ	宜华健康
600615.SH	丰华股份
300201.SZ	海伦哲
603020.SH	爱普股份
600400.SH	红豆股份
002580.SZ	圣阳股份
002629.SZ	仁智油服
600960.SH	渤海活塞
000732.SZ	泰禾集团
000856.SZ	*ST冀装
000738.SZ	中航动控
601117.SH	中国化学
002625.SZ	龙生股份
603519.SH	立霸股份
600888.SH	新疆众和
300343.SZ	联创互联
000656.SZ	金科股份
300350.SZ	华鹏飞
002240.SZ	威华股份
002609.SZ	捷顺科技
002262.SZ	恩华药业
600800.SH	天津磁卡
000888.SZ	峨眉山A
002493.SZ	荣盛石化
002147.SZ	新光圆成
601877.SH	正泰电器
300374.SZ	恒通科技
600773.SH	西藏城投
000607.SZ	华媒控股
002204.SZ	大连重工
002139.SZ	拓邦股份
300416.SZ	苏试试验
000593.SZ	大通燃气
603223.SH	恒通股份
601518.SH	吉林高速
300144.SZ	宋城演艺
000651.SZ	格力电器
002770.SZ	科迪乳业
600082.SH	海泰发展
002776.SZ	柏堡龙
600769.SH	祥龙电业
600708.SH	光明地产
600157.SH	永泰能源
600370.SH	三房巷
000912.SZ	泸天化
002286.SZ	保龄宝
601333.SH	广深铁路
600973.SH	宝胜股份
000408.SZ	*ST金源
603567.SH	珍宝岛
300119.SZ	瑞普生物
002091.SZ	江苏国泰
002598.SZ	山东章鼓
300395.SZ	菲利华
002288.SZ	超华科技
300426.SZ	唐德影视
300318.SZ	博晖创新
002159.SZ	三特索道
603167.SH	渤海轮渡
002028.SZ	思源电气
601599.SH	鹿港文化
300166.SZ	东方国信
600379.SH	宝光股份
600284.SH	浦东建设
600083.SH	博信股份
600846.SH	同济科技
000592.SZ	平潭发展
002713.SZ	东易日盛
600418.SH	江淮汽车
002397.SZ	梦洁股份
600152.SH	维科精华
000963.SZ	华东医药
601155.SH	新城控股
002708.SZ	光洋股份
603889.SH	新澳股份
600620.SH	天宸股份
603198.SH	迎驾贡酒
601158.SH	重庆水务
600713.SH	南京医药
000018.SZ	神州长城
600267.SH	海正药业
002097.SZ	山河智能
000655.SZ	金岭矿业
002737.SZ	葵花药业
600488.SH	天药股份
600722.SH	金牛化工
002394.SZ	联发股份
002587.SZ	奥拓电子
600557.SH	康缘药业
600213.SH	亚星客车
600249.SH	两面针
000995.SZ	*ST皇台
000530.SZ	大冷股份
600651.SH	飞乐音响
002775.SZ	文科园林
002225.SZ	濮耐股份
002118.SZ	紫鑫药业
600352.SH	浙江龙盛
600444.SH	国机通用
600027.SH	华电国际
600731.SH	湖南海利
002491.SZ	通鼎互联
002319.SZ	乐通股份
600621.SH	华鑫股份
603885.SH	吉祥航空
600325.SH	华发股份
600595.SH	中孚实业
300363.SZ	博腾股份
600052.SH	浙江广厦
300244.SZ	迪安诊断
600684.SH	珠江实业
300320.SZ	海达股份
002740.SZ	爱迪尔
002249.SZ	大洋电机
601369.SH	陕鼓动力
002432.SZ	九安医疗
600641.SH	万业企业
600527.SH	江南高纤
000811.SZ	烟台冰轮
300099.SZ	尤洛卡
600316.SH	洪都航空
000519.SZ	江南红箭
600095.SH	哈高科
000828.SZ	东莞控股
002418.SZ	康盛股份
002187.SZ	广百股份
000166.SZ	申万宏源
000506.SZ	中润资源
600633.SH	浙报传媒
600568.SH	中珠医疗
601339.SH	百隆东方
002733.SZ	雄韬股份
300142.SZ	沃森生物
000090.SZ	天健集团
600662.SH	强生控股
600368.SH	五洲交通
002084.SZ	海鸥卫浴
600505.SH	西昌电力
002065.SZ	东华软件
300064.SZ	豫金刚石
600694.SH	大商股份
600126.SH	杭钢股份
300042.SZ	朗科科技
600320.SH	振华重工
000916.SZ	华北高速
000815.SZ	美利云
002024.SZ	苏宁云商
300056.SZ	三维丝
000690.SZ	宝新能源
000908.SZ	景峰医药
300444.SZ	双杰电气
300371.SZ	汇中股份
600528.SH	中铁二局
600560.SH	金自天正
601313.SH	江南嘉捷
600594.SH	益佰制药
002665.SZ	首航节能
603222.SH	济民制药
601999.SH	出版传媒
002106.SZ	莱宝高科
002414.SZ	高德红外
300043.SZ	互动娱乐
600282.SH	南钢股份
002470.SZ	金正大
603025.SH	大豪科技
600698.SH	湖南天雁
002066.SZ	瑞泰科技
600031.SH	三一重工
000017.SZ	深中华A
002200.SZ	云投生态
600648.SH	外高桥
002626.SZ	金达威
300285.SZ	国瓷材料
002455.SZ	百川股份
603588.SH	高能环境
600642.SH	申能股份
002067.SZ	景兴纸业
000544.SZ	中原环保
000886.SZ	海南高速
000639.SZ	西王食品
300162.SZ	雷曼股份
600099.SH	林海股份
002209.SZ	达意隆
600390.SH	*ST金瑞
601969.SH	海南矿业
300478.SZ	杭州高新
000627.SZ	天茂集团
601588.SH	北辰实业
000529.SZ	广弘控股
002437.SZ	誉衡药业
002359.SZ	齐星铁塔
000422.SZ	湖北宜化
603688.SH	石英股份
600271.SH	航天信息
002321.SZ	华英农业
600008.SH	首创股份
000998.SZ	隆平高科
000069.SZ	华侨城A
600329.SH	中新药业
603838.SH	四通股份
600984.SH	建设机械
002731.SZ	萃华珠宝
600697.SH	欧亚集团
600018.SH	上港集团
300382.SZ	斯莱克
600293.SH	三峡新材
002217.SZ	合力泰
600511.SH	国药股份
600365.SH	通葡股份
300421.SZ	力星股份
600372.SH	中航电子
600963.SH	岳阳林纸
300325.SZ	德威新材
000498.SZ	山东路桥
002115.SZ	三维通信
300207.SZ	欣旺达
002251.SZ	步步高
300449.SZ	汉邦高科
000978.SZ	桂林旅游
300211.SZ	亿通科技
002570.SZ	贝因美
000919.SZ	金陵药业
002719.SZ	麦趣尔
002298.SZ	中电鑫龙
002463.SZ	沪电股份
002520.SZ	日发精机
002510.SZ	天汽模
002229.SZ	鸿博股份
600242.SH	中昌海运
000009.SZ	中国宝安
300029.SZ	天龙光电
300193.SZ	佳士科技
600737.SH	中粮屯河
000877.SZ	天山股份
000598.SZ	兴蓉环境
600182.SH	S佳通
600636.SH	三爱富
000584.SZ	友利控股
601101.SH	昊华能源
600067.SH	冠城大通
300311.SZ	任子行
000637.SZ	茂化实华
600173.SH	卧龙地产
600281.SH	太化股份
002464.SZ	金利科技
000700.SZ	模塑科技
300482.SZ	万孚生物
300316.SZ	晶盛机电
000590.SZ	启迪古汉
002230.SZ	科大讯飞
300286.SZ	安科瑞
300113.SZ	顺网科技
603017.SH	中衡设计
300355.SZ	蒙草生态
603018.SH	设计股份
300230.SZ	永利股份
002300.SZ	太阳电缆
300417.SZ	南华仪器
300483.SZ	沃施股份
000617.SZ	*ST济柴
600209.SH	罗顿发展
600787.SH	中储股份
002476.SZ	宝莫股份
300202.SZ	聚龙股份
600876.SH	洛阳玻璃
002083.SZ	孚日股份
600389.SH	江山股份
000417.SZ	合肥百货
300225.SZ	金力泰
000949.SZ	新乡化纤
600226.SH	升华拜克
000692.SZ	惠天热电
603108.SH	润达医疗
002599.SZ	盛通股份
600361.SH	华联综超
002724.SZ	海洋王
000063.SZ	中兴通讯
300319.SZ	麦捷科技
000757.SZ	浩物股份
002479.SZ	富春环保
000507.SZ	珠海港
000836.SZ	鑫茂科技
300335.SZ	迪森股份
000890.SZ	法尔胜
600159.SH	大龙地产
600359.SH	新农开发
002055.SZ	得润电子
600753.SH	东方银星
002170.SZ	芭田股份
002749.SZ	国光股份
600778.SH	友好集团
600775.SH	南京熊猫
600985.SH	雷鸣科化
600468.SH	百利电气
000686.SZ	东北证券
000952.SZ	广济药业
600584.SH	长电科技
000762.SZ	西藏矿业
600198.SH	大唐电信
603669.SH	灵康药业
600976.SH	健民集团
600883.SH	博闻科技
600552.SH	凯盛科技
300108.SZ	双龙股份
300124.SZ	汇川技术
000561.SZ	烽火电子
601107.SH	四川成渝
002604.SZ	龙力生物
600500.SH	中化国际
600240.SH	华业资本
603699.SH	纽威股份
600022.SH	山东钢铁
000665.SZ	湖北广电
600038.SH	中直股份
600523.SH	贵航股份
600033.SH	福建高速
300220.SZ	金运激光
600811.SH	东方集团
002094.SZ	青岛金王
002238.SZ	天威视讯
300345.SZ	红宇新材
601098.SH	中南传媒
300356.SZ	光一科技
600791.SH	京能置业
601021.SH	春秋航空
600576.SH	万家文化
603118.SH	共进股份
000572.SZ	海马汽车
002521.SZ	齐峰新材
300120.SZ	经纬电材
002512.SZ	达华智能
600170.SH	上海建工
002605.SZ	姚记扑克
300114.SZ	中航电测
600729.SH	重庆百货
300172.SZ	中电环保
600228.SH	昌九生化
000100.SZ	TCL集团
600118.SH	中国卫星
002250.SZ	联化科技
002116.SZ	中国海诚
000716.SZ	黑芝麻
603901.SH	永创智能
000812.SZ	陕西金叶
002445.SZ	中南文化
600148.SH	长春一东
600299.SH	安迪苏
600143.SH	金发科技
000008.SZ	神州高铁
601179.SH	中国西电
300475.SZ	聚隆科技
000899.SZ	赣能股份
600739.SH	辽宁成大
300057.SZ	万顺股份
000725.SZ	京东方A
600479.SH	千金药业
601788.SH	光大证券
300107.SZ	建新股份
000880.SZ	潍柴重机
001979.SZ	招商蛇口
600078.SH	澄星股份
300055.SZ	万邦达
601608.SH	中信重工
600175.SH	美都能源
603100.SH	川仪股份
300279.SZ	和晶科技
600757.SH	长江传媒
002555.SZ	三七互娱
002588.SZ	史丹利
000733.SZ	振华科技
600830.SH	香溢融通
600795.SH	国电电力
002212.SZ	南洋股份
603199.SH	九华旅游
600255.SH	鑫科材料
603936.SH	博敏电子
603355.SH	莱克电气
600703.SH	三安光电
000157.SZ	中联重科
300307.SZ	慈星股份
002678.SZ	珠江钢琴
000070.SZ	特发信息
600477.SH	杭萧钢构
601118.SH	海南橡胶
300301.SZ	长方集团
600010.SH	包钢股份
300488.SZ	恒锋工具
300472.SZ	新元科技
002673.SZ	西部证券
603558.SH	健盛集团
300009.SZ	安科生物
603718.SH	海利生物
300132.SZ	青松股份
600847.SH	万里股份
600839.SH	四川长虹
000632.SZ	三木集团
600331.SH	宏达股份
002459.SZ	天业通联
603019.SH	中科曙光
600201.SH	生物股份
601006.SH	大秦铁路
600657.SH	信达地产
002393.SZ	力生制药
300104.SZ	乐视网
603589.SH	口子窖
300252.SZ	金信诺
300133.SZ	华策影视
000667.SZ	美好集团
000672.SZ	上峰水泥
300271.SZ	华宇软件
601808.SH	中海油服
600860.SH	京城股份
601211.SH	国泰君安
002653.SZ	海思科
002727.SZ	一心堂
002743.SZ	富煌钢构
601991.SH	大唐发电
002348.SZ	高乐股份
600680.SH	上海普天
601600.SH	中国铝业
600420.SH	现代制药
002246.SZ	北化股份
000400.SZ	许继电气
600855.SH	航天长峰
600588.SH	用友网络
000546.SZ	金圆股份
002177.SZ	御银股份
000407.SZ	胜利股份
600749.SH	西藏旅游
002417.SZ	三元达
600765.SH	中航重机
300025.SZ	华星创业
000540.SZ	中天城投
600103.SH	青山纸业
000883.SZ	湖北能源
601311.SH	骆驼股份
300402.SZ	宝色股份
600727.SH	鲁北化工
600467.SH	好当家
600141.SH	兴发集团
002680.SZ	长生生物
300177.SZ	中海达
000737.SZ	南风化工
002380.SZ	科远股份
000631.SZ	顺发恒业
000547.SZ	航天发展
000060.SZ	中金岭南
603398.SH	邦宝益智
600093.SH	禾嘉股份
000878.SZ	云南铜业
600794.SH	保税科技
600894.SH	广日股份
603318.SH	派思股份
600172.SH	黄河旋风
002499.SZ	科林环保
601901.SH	方正证券
002396.SZ	星网锐捷
600517.SH	置信电气
600433.SH	冠豪高新
600037.SH	歌华有线
300468.SZ	四方精创
000523.SZ	广州浪奇
002505.SZ	大康农业
002395.SZ	双象股份
600460.SH	士兰微
002172.SZ	澳洋科技
600858.SH	银座股份
603939.SH	益丰药房
002263.SZ	大东南
600643.SH	爱建集团
000636.SZ	风华高科
002451.SZ	摩恩电气
603168.SH	莎普爱思
601669.SH	中国电建
601801.SH	皖新传媒
000007.SZ	全新好
600239.SH	云南城投
300199.SZ	翰宇药业
300238.SZ	冠昊生物
002280.SZ	联络互动
000789.SZ	万年青
600868.SH	梅雁吉祥
002461.SZ	珠江啤酒
300215.SZ	电科院
600039.SH	四川路桥
300305.SZ	裕兴股份
000826.SZ	启迪桑德
600212.SH	*ST江泉
000859.SZ	国风塑业
600629.SH	华建集团
600979.SH	广安爱众
600401.SH	海润光伏
300129.SZ	泰胜风能
002616.SZ	长青集团
600533.SH	栖霞建设
000570.SZ	苏常柴A
000722.SZ	湖南发展
600326.SH	西藏天路
603030.SH	全筑股份
002701.SZ	奥瑞金
600992.SH	贵绳股份
600354.SH	敦煌种业
600080.SH	金花股份
000004.SZ	国农科技
000159.SZ	国际实业
600167.SH	联美控股
002711.SZ	欧浦智网
600378.SH	天科股份
000809.SZ	铁岭新城
600628.SH	新世界
300390.SZ	天华超净
600423.SH	柳化股份
300330.SZ	华虹计通
600225.SH	天津松江
600893.SH	中航动力
300397.SZ	天和防务
600969.SH	郴电国际
002497.SZ	雅化集团
600647.SH	同达创业
000955.SZ	欣龙控股
300157.SZ	恒泰艾普
002540.SZ	亚太科技
600397.SH	安源煤业
300469.SZ	信息发展
600051.SH	宁波联合
002156.SZ	通富微电
002446.SZ	盛路通信
600884.SH	杉杉股份
002274.SZ	华昌化工
600058.SH	五矿发展
000685.SZ	中山公用
002255.SZ	海陆重工
000996.SZ	中国中期
300049.SZ	福瑞股份
000905.SZ	厦门港务
603126.SH	中材节能
002290.SZ	禾盛新材
002581.SZ	未名医药
002549.SZ	凯美特气
002732.SZ	燕塘乳业
600824.SH	益民集团
300013.SZ	新宁物流
600561.SH	江西长运
300024.SZ	机器人
002457.SZ	青龙管业
600300.SH	维维股份
300050.SZ	世纪鼎利
000555.SZ	神州信息
002573.SZ	清新环境
600845.SH	宝信软件
600961.SH	株冶集团
600571.SH	信雅达
002034.SZ	美欣达
000792.SZ	盐湖股份
002208.SZ	合肥城建
002400.SZ	省广股份
600086.SH	东方金钰
300269.SZ	联建光电
000552.SZ	靖远煤电
600515.SH	海航基础
600005.SH	武钢股份
600250.SH	南纺股份
000151.SZ	中成股份
600193.SH	创兴资源
000778.SZ	新兴铸管
000409.SZ	山东地矿
300436.SZ	广生堂
002585.SZ	双星新材
600171.SH	上海贝岭
002528.SZ	英飞拓
002691.SZ	冀凯股份
000823.SZ	超声电子
002216.SZ	三全食品
002677.SZ	浙江美大
600828.SH	茂业商业
600726.SH	华电能源
002296.SZ	辉煌科技
002282.SZ	博深工具
000897.SZ	津滨发展
601377.SH	兴业证券
600877.SH	中国嘉陵
600776.SH	东方通信
002293.SZ	罗莱生活
601678.SH	滨化股份
601628.SH	中国人寿
002750.SZ	龙津药业
600509.SH	天富能源
300465.SZ	高伟达
300139.SZ	晓程科技
300077.SZ	国民技术
600579.SH	天华院
002442.SZ	龙星化工
600640.SH	号百控股
600317.SH	营口港
601198.SH	东兴证券
002399.SZ	海普瑞
000707.SZ	双环科技
300348.SZ	长亮科技
601888.SH	中国国旅
002398.SZ	建研集团
300253.SZ	卫宁健康
600493.SH	凤竹纺织
002093.SZ	国脉科技
300006.SZ	莱美药业
002366.SZ	台海核电
000797.SZ	中国武夷
600861.SH	北京城乡
002354.SZ	天神娱乐
600089.SH	特变电工
002098.SZ	浔兴股份
002449.SZ	国星光电
300394.SZ	天孚通信
300412.SZ	迦南科技
002730.SZ	电光科技
300181.SZ	佐力药业
000595.SZ	宝塔实业
002696.SZ	百洋股份
300281.SZ	金明精机
300489.SZ	中飞股份
600021.SH	上海电力
601717.SH	郑煤机
000977.SZ	浪潮信息
002425.SZ	凯撒股份
300362.SZ	天翔环境
300039.SZ	上海凯宝
300430.SZ	诚益通
300140.SZ	启源装备
002227.SZ	奥特迅
002176.SZ	江特电机
600536.SH	中国软件
002492.SZ	恒基达鑫
600288.SH	大恒科技
600369.SH	西南证券
600596.SH	新安股份
002742.SZ	三圣特材
600605.SH	汇通能源
000926.SZ	福星股份
002010.SZ	传化股份
000613.SZ	大东海A
002669.SZ	康达新材
603606.SH	东方电缆
002122.SZ	天马股份
002651.SZ	利君股份
600243.SH	青海华鼎
600802.SH	福建水泥
600790.SH	轻纺城
002243.SZ	通产丽星
601231.SH	环旭电子
002325.SZ	洪涛股份
000997.SZ	新大陆
002342.SZ	巨力索具
600617.SH	国新能源
600478.SH	科力远
300187.SZ	永清环保
002659.SZ	中泰桥梁
002756.SZ	永兴特钢
600125.SH	铁龙物流
300298.SZ	三诺生物
600202.SH	哈空调
002547.SZ	春兴精工
002327.SZ	富安娜
002033.SZ	丽江旅游
002199.SZ	*ST东晶
603333.SH	明星电缆
600626.SH	申达股份
300414.SZ	中光防雷
600624.SH	复旦复华
002735.SZ	王子新材
600667.SH	太极实业
000950.SZ	*ST建峰
600655.SH	豫园商城
603696.SH	安记食品
300359.SZ	全通教育
002362.SZ	汉王科技
000016.SZ	深康佳A
600889.SH	南京化纤
300487.SZ	蓝晓科技
002248.SZ	华东数控
600503.SH	华丽家族
002009.SZ	天奇股份
002596.SZ	海南瑞泽
300405.SZ	科隆精化
002760.SZ	凤形股份
300461.SZ	田中精机
600246.SH	万通地产
002535.SZ	林州重机
002577.SZ	雷柏科技
600513.SH	联环药业
000798.SZ	中水渔业
300182.SZ	捷成股份
600730.SH	中国高科
600303.SH	曙光股份
002214.SZ	大立科技
002061.SZ	*ST江化
002202.SZ	金风科技
600558.SH	大西洋
000760.SZ	斯太尔
002462.SZ	嘉事堂
000985.SZ	大庆华科
000430.SZ	张家界
603099.SH	长白山
000862.SZ	银星能源
600546.SH	*ST山煤
002241.SZ	歌尔股份
600321.SH	国栋建设
603015.SH	弘讯科技
603611.SH	诺力股份
002046.SZ	轴研科技
002428.SZ	云南锗业
600834.SH	申通地铁
600572.SH	康恩贝
000030.SZ	富奥股份
002550.SZ	千红制药
300154.SZ	瑞凌股份
600220.SH	江苏阳光
002285.SZ	世联行
300424.SZ	航新科技
600448.SH	华纺股份
002707.SZ	众信旅游
000428.SZ	华天酒店
002390.SZ	信邦制药
002279.SZ	久其软件
600725.SH	*ST云维
300192.SZ	科斯伍德
600874.SH	创业环保
002109.SZ	*ST兴化
603006.SH	联明股份
000928.SZ	中钢国际
600405.SH	动力源
601890.SH	亚星锚链
300251.SZ	光线传媒
300203.SZ	聚光科技
600399.SH	抚顺特钢
002757.SZ	南兴装备
000006.SZ	深振业A
600184.SH	光电股份
601515.SH	东风股份
000697.SZ	炼石有色
000056.SZ	皇庭国际
600180.SH	瑞茂通
000731.SZ	四川美丰
002152.SZ	广电运通
600396.SH	金山股份
000628.SZ	高新发展
300458.SZ	全志科技
600268.SH	国电南自
600231.SH	凌钢股份
600780.SH	通宝能源
001696.SZ	宗申动力
600598.SH	北大荒
002071.SZ	长城影视
002283.SZ	天润曲轴
300470.SZ	日机密封
300030.SZ	阳普医疗
600567.SH	山鹰纸业
600706.SH	曲江文旅
600315.SH	上海家化
600217.SH	秦岭水泥
002166.SZ	莱茵生物
603555.SH	贵人鸟
300243.SZ	瑞丰高材
300020.SZ	银江股份
000010.SZ	美丽生态
000650.SZ	仁和药业
000976.SZ	春晖股份
000411.SZ	英特集团
601005.SH	重庆钢铁
000539.SZ	粤电力A
002291.SZ	星期六
300189.SZ	神农基因
002175.SZ	东方网络
002779.SZ	中坚科技
601566.SH	九牧王
600135.SH	乐凯胶片
600088.SH	中视传媒
300058.SZ	蓝色光标
600863.SH	内蒙华电
001896.SZ	豫能控股
300112.SZ	万讯自控
600218.SH	全柴动力
002029.SZ	七匹狼
002438.SZ	江苏神通
603566.SH	普莱柯
601218.SH	吉鑫科技
000425.SZ	徐工机械
000702.SZ	正虹科技
002524.SZ	光正集团
002101.SZ	广东鸿图
600091.SH	ST明科
600812.SH	华北制药
002133.SZ	广宇集团
000511.SZ	*ST烯碳
600578.SH	京能电力
603311.SH	金海环境
603158.SH	腾龙股份
002697.SZ	红旗连锁
000560.SZ	昆百大A
300451.SZ	创业软件
600966.SH	博汇纸业
000031.SZ	中粮地产
000587.SZ	金洲慈航
600023.SH	浙能电力
300052.SZ	中青宝
300453.SZ	三鑫医疗
601718.SH	际华集团
000791.SZ	甘肃电投
601872.SH	招商轮船
000516.SZ	国际医学
601188.SH	龙江交通
000793.SZ	华闻传媒
000663.SZ	永安林业
000537.SZ	广宇发展
600827.SH	百联股份
600248.SH	延长化建
000967.SZ	盈峰环境
000068.SZ	华控赛格
300161.SZ	华中数控
002420.SZ	毅昌股份
603636.SH	南威软件
002381.SZ	双箭股份
600724.SH	宁波富达
300385.SZ	雪浪环境
002197.SZ	证通电子
002027.SZ	分众传媒
000551.SZ	创元科技
603077.SH	和邦生物
600738.SH	兰州民百
600117.SH	西宁特钢
600163.SH	中闽能源
000589.SZ	黔轮胎A
300446.SZ	乐凯新材
002465.SZ	海格通信
300435.SZ	中泰股份
300090.SZ	盛运环保
002566.SZ	益盛药业
300332.SZ	天壕环境
000669.SZ	金鸿能源
000973.SZ	佛塑科技
600526.SH	菲达环保
002272.SZ	川润股份
601636.SH	旗滨集团
600743.SH	华远地产
603979.SH	金诚信
002289.SZ	*ST宇顺
002471.SZ	中超控股
600415.SH	小商品城
000892.SZ	星美联合
300106.SZ	西部牧业
600422.SH	昆药集团
002517.SZ	恺英网络
600685.SH	中船防务
002560.SZ	通达股份
002404.SZ	嘉欣丝绸
600661.SH	新南洋
002630.SZ	华西能源
002771.SZ	真视通
300217.SZ	东方电热
600391.SH	成发科技
002334.SZ	英威腾
000687.SZ	华讯方舟
600388.SH	龙净环保
002413.SZ	雷科防务
600425.SH	青松建化
600191.SH	华资实业
601727.SH	上海电气
002758.SZ	华通医药
600965.SH	福成股份
300422.SZ	博世科
600654.SH	中安消
600958.SH	东方证券
300297.SZ	蓝盾股份
002556.SZ	辉隆股份
000868.SZ	安凯客车
300205.SZ	天喻信息
600375.SH	*ST星马
002337.SZ	赛象科技
601126.SH	四方股份
000005.SZ	世纪星源
300400.SZ	劲拓股份
600179.SH	*ST黑化
300460.SZ	惠伦晶体
000630.SZ	铜陵有色
300071.SZ	华谊嘉信
002592.SZ	八菱科技
600611.SH	大众交通
300357.SZ	我武生物
000718.SZ	苏宁环球
300002.SZ	神州泰岳
600875.SH	东方电气
300125.SZ	易世达
000801.SZ	四川九洲
300328.SZ	宜安科技
300031.SZ	宝通科技
600072.SH	钢构工程
002447.SZ	壹桥海参
300312.SZ	邦讯技术
300111.SZ	向日葵
002171.SZ	楚江新材
600676.SH	交运股份
000777.SZ	中核科技
601099.SH	太平洋
300102.SZ	乾照光电
601700.SH	风范股份
600825.SH	新华传媒
600476.SH	湘邮科技
